severity,subject,finding,impact,action
low,Proveniência do número de barco,Os 30 números foram confirmados pelo utilizador através de duas capturas da tabela Excel; a folha original ainda não está disponível em formato tabular.,"Os valores podem ser usados como oficiais, mas a futura importação automática deve usar a folha original.",Arquivar as capturas e solicitar a folha original antes de automatizar o carregamento.
critical,IBERO'S,Não foi fornecido certificado ANC/ORC; o controlo documental indica 'CERTIFICADO PEDIDO'.,"Número de vela oficial, grupo e rating ficam por validar.",Obter e validar o certificado atual.
high,FAROFINO,"Existe evidência visual do certificado em três screenshots, mas não foi fornecido o PDF original.","A identidade POR 2000 pode ser auditada visualmente, mas não cumpre literalmente a política 'PDF'.",Pedir o certificado PDF original.
high,AZUL XL,"O certificado fornecido é ANC 2025, POR 8022, válido apenas até 31/03/2026.",Está expirado antes do evento e diverge do valor '1' no controlo de inscrição.,Obter certificado 2026 válido e corrigir o registo operacional.
high,Allaboard49,O controlo de inscrição mostra 4900; o certificado mostra POR 49.,Risco de associação incorreta.,Usar POR 49 no jogo e corrigir a fonte operacional após validação.
high,Veritas,O controlo de inscrição mostra 7112; o certificado mostra ESP 9161.,Risco de associação incorreta.,Usar ESP 9161 no jogo e corrigir a fonte operacional após validação.
high,YEMAYA,O controlo de inscrição mostra 8558; o certificado mostra POR 8556.,Risco de associação incorreta.,Usar POR 8556 no jogo e corrigir a fonte operacional após validação.
medium,Häcker Kitchen / MADMAX,Nome público no registo: Häcker Kitchen; nome técnico no certificado POR 8137: MADMAX.,Risco de duplicação de embarcação.,"Manter Häcker Kitchen como nome público e MADMAX como alias técnico, após aprovação."
medium,FUNBEL-NACEX / FUNBEL,O nome público inclui patrocinador; o certificado POR 4508 identifica FUNBEL.,Risco de associação por nome.,Manter ambos os nomes como aliases da mesma embarcação.
medium,PEDE MAR/guronsan / PEDE MAR,O certificado GBR 1234 X usa PEDE MAR; o registo usa o nome patrocinado.,Risco de associação por nome.,Manter o nome público patrocinado e PEDE MAR como alias técnico.
medium,MAKAI,"O cabeçalho indica NED 89, enquanto o campo técnico 'Data file' indica NED69 C.","Pode ser apenas um identificador técnico interno, mas não deve ser usado como número de vela.",Confirmar com a Comissão Técnica; manter NED 89 como número de vela.
medium,Plano das etapas,"Existem diferenças de nomenclatura entre o banner oficial e as folhas operacionais do XLSX, por exemplo Gaia/Frente Atlântica vs Porto e Regata In-Port Lisboa vs Cascais-Lisboa.",Risco de publicar percursos ou nomes inconsistentes.,"Aprovar uma tabela oficial de etapas, locais e tipos de regata."
medium,Lista de inscritos,A coluna 'Comprimento em metros' aparece como #VALOR! em todas as linhas do documento exportado.,Indica erro de fórmula na fonte; não afeta o MVP se o campo for excluído.,Corrigir a folha original se o comprimento for necessário futuramente.
low,Resultados provisórios,Foram fornecidos dois PDFs de resultados provisórios/históricos.,Podem conter identificadores antigos ou diferentes.,Manter arquivados e excluídos de qualquer seed ou importação de resultados.
high,Registo E26 atribuído a Mar de Levante,"Na página 3, uma linha do Mar de Levante usa E26; as restantes linhas usam E25 e E26 pertence ao Sete Estrelo.",Pode associar uma pessoa à embarcação errada em importações automáticas.,Corrigir a fonte e validar a pessoa afetada antes de qualquer importação.
medium,Estado individual BIÃO II,"Na página 4, uma linha não apresenta licença nem pagamento confirmados e contém uma nota de pagamento pendente.",O estado da inscrição individual não está completo.,Resolver internamente e atualizar a lista.
low,Faturação pendente na lista de tripulantes,Existem duas notas de faturação pendente: uma no Mar de Levante e outra no First Way.,"Não afeta o jogo, mas é um assunto operacional por concluir.",Manter fora do sistema público e concluir no controlo administrativo.
