registration_id_expected,boat_number_official,public_name,class,group,crew_entries,licence_valid_entries,paid_yes_entries,complete_entries,exception_entries,registration_id_mismatch_entries,observation_categories,exceptions_summary,source_file,source_sha256,classification
E22,10,Allaboard49,ANC,ANC-A,7,7,7,7,0,0,completo:7,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E04,6,Anthea,ANC,ANC-A,7,7,7,7,0,0,completo:7,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E35,20,Azul XL,ANC,ANC-A,9,9,9,9,0,0,completo:9,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E19,31,BALAYA,ANC,ANC-A,5,5,5,5,0,0,completo:5,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E33,1,BIÃO II,ORC,,7,6,6,6,1,0,completo:6 | pagamento_pendente:1,1_licenca_nao_validada | 1_pagamento_nao_confirmado | 1_observacao_nao_completa,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E27,2,BLU,ANC,ANC-A,5,5,5,5,0,0,completo:5,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E46,29,Farofino,ORC,,5,5,5,5,0,0,completo:5,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E29,30,Feitiço,ORC,,8,8,8,8,0,0,completo:8,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E30,17,First Way,ANC,ANC-A,7,7,7,6,1,0,completo:6 | faturacao_pendente:1,1_observacao_nao_completa,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
E38,18,Foz do Ave,ANC,ANC-A,3,3,3,3,0,0,completo:3,,LISTA DE INSCRITOS E TRIPULANTES.VAP (2).pdf,687bb4a37bbf6db73bd4666f6e3de3688cb96ba7710d9b1568eb3ef9019bc4d1,INTERNAL_RESTRICTED_AGGREGATE_NO_NAMES
